2026-04-09 06:40:08,717 | INFO | main | Application startup initiated.
2026-04-09 06:40:08,845 | INFO | main | Database metadata initialized.
2026-04-09 06:40:08,852 | INFO | main | Order migrations ensured.
2026-04-09 06:40:08,863 | INFO | main | Menu item iiko migrations ensured.
2026-04-09 06:40:08,863 | INFO | main | Starting iiko catalog sync.
2026-04-09 06:40:08,863 | INFO | backend.iiko_manager.service | Catalog sync started. terminal_group_id=7bb70c1d-4e12-4a7f-9750-c2aaed6ddabc
2026-04-09 06:40:08,863 | INFO | backend.iiko_manager.client | Requesting iiko access token.
2026-04-09 06:40:09,532 | INFO | httpx | HTTP Request: POST https://api-ru.iiko.services/api/1/access_token "HTTP/1.1 200 OK"
2026-04-09 06:40:09,537 | INFO | backend.iiko_manager.client | iiko access token received successfully.
2026-04-09 06:40:09,538 | INFO | backend.iiko_manager.service | Using configured iiko organization id=5b44b114-347a-4c95-a7c0-c146a6bfbde2
2026-04-09 06:40:09,538 | INFO | backend.iiko_manager.client | Requesting iiko nomenclature. organization_id=5b44b114-347a-4c95-a7c0-c146a6bfbde2
2026-04-09 06:40:10,206 | INFO | httpx | HTTP Request: POST https://api-ru.iiko.services/api/1/nomenclature "HTTP/1.1 200 OK"
2026-04-09 06:40:10,410 | INFO | backend.iiko_manager.client | iiko nomenclature received. groups=56 products=457
2026-04-09 06:40:10,418 | INFO | backend.iiko_manager.service | Normalized iiko products. total=457 without_price=457 deleted=269 active=0
2026-04-09 06:40:10,418 | WARNING | backend.iiko_manager.service | No prices were matched for terminal group 7bb70c1d-4e12-4a7f-9750-c2aaed6ddabc. Available terminalGroupId examples from iiko: none
2026-04-09 06:40:10,418 | INFO | backend.iiko_manager.service | Prepared 457 normalized iiko items for sync.
2026-04-09 06:40:10,419 | INFO | backend.iiko_manager.repository | Repository sync started. terminal_group_id=7bb70c1d-4e12-4a7f-9750-c2aaed6ddabc items=457 synced_at=2026-04-09T03:40:10.418854+00:00
2026-04-09 06:40:10,449 | INFO | backend.iiko_manager.repository | Loaded existing iiko menu items from database. count=457
2026-04-09 06:40:10,470 | INFO | backend.iiko_manager.repository | Repository sync committed. created=0 updated=0 deactivated=0
2026-04-09 06:40:10,471 | INFO | backend.iiko_manager.service | Catalog sync persisted successfully. created=0 updated=0 deactivated=0
2026-04-09 06:40:10,472 | INFO | main | Finished iiko catalog sync. created=0 updated=0 deactivated=0
2026-04-09 06:40:10,472 | INFO | main | Application startup completed.
2026-04-09 06:40:10,473 | INFO | main | Started background iiko sync loop. interval_seconds=300
2026-04-09 06:40:22,612 | INFO | main | Loaded 0 active iiko menu items for storefront.
2026-04-09 06:40:22,613 | WARNING | main | Storefront has zero active iiko menu items.
2026-04-09 14:43:49,804 | INFO | main | Application startup initiated.
2026-04-09 14:43:50,009 | INFO | main | Database metadata initialized.
2026-04-09 14:43:50,024 | INFO | main | Order migrations ensured.
2026-04-09 14:43:50,052 | INFO | main | Menu item iiko migrations ensured.
2026-04-09 14:43:50,052 | INFO | main | Starting iiko catalog sync.
2026-04-09 14:43:50,053 | INFO | backend.iiko_manager.service | Catalog sync started. terminal_group_id=7bb70c1d-4e12-4a7f-9750-c2aaed6ddabc
2026-04-09 14:43:50,053 | INFO | backend.iiko_manager.client | Requesting iiko access token.
2026-04-09 14:43:50,690 | INFO | httpx | HTTP Request: POST https://api-ru.iiko.services/api/1/access_token "HTTP/1.1 200 OK"
2026-04-09 14:43:50,695 | INFO | backend.iiko_manager.client | iiko access token received successfully.
2026-04-09 14:43:50,696 | INFO | backend.iiko_manager.service | Using configured iiko organization id=5b44b114-347a-4c95-a7c0-c146a6bfbde2
2026-04-09 14:43:50,696 | INFO | backend.iiko_manager.client | Requesting iiko nomenclature. organization_id=5b44b114-347a-4c95-a7c0-c146a6bfbde2
2026-04-09 14:43:51,401 | INFO | httpx | HTTP Request: POST https://api-ru.iiko.services/api/1/nomenclature "HTTP/1.1 200 OK"
2026-04-09 14:43:51,612 | INFO | backend.iiko_manager.client | iiko nomenclature received. groups=56 products=457
2026-04-09 14:43:51,621 | INFO | backend.iiko_manager.service | Normalized iiko products. total=457 without_price=0 deleted=269 active=188
2026-04-09 14:43:51,621 | INFO | backend.iiko_manager.service | Price extraction summary. matched_by_currentPrice=457
2026-04-09 14:43:51,621 | INFO | backend.iiko_manager.service | Prepared 457 normalized iiko items for sync.
2026-04-09 14:43:51,622 | INFO | backend.iiko_manager.repository | Repository sync started. terminal_group_id=7bb70c1d-4e12-4a7f-9750-c2aaed6ddabc items=457 synced_at=2026-04-09T11:43:51.621857+00:00
